Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 13:12:29.999982	-4761897.179656858	-4234738.236898084	-2722456.5628856537
2024-11-01 13:12:59.999980	-4710990.53209475	-4388381.522775489	-2562576.0963033703
2024-11-01 13:13:30.000019	-4655002.98710717	-4537292.124087481	-2399924.058625809
2024-11-01 13:14:00.000017	-4593994.117552552	-4681308.106508793	-2234676.2947810874
2024-11-01 13:14:30.000015	-4528028.730253761	-4820273.372921525	-2067010.8798613413
2024-11-01 13:15:00.000013	-4457177.094442181	-4954037.033589045	-1897108.7963225197
2024-11-01 13:15:30.000012	-4381514.798681999	-5082453.779032038	-1725153.522278506
2024-11-01 13:16:00.000010	-4301122.673324059	-5205384.044101321	-1551330.8328351374
2024-11-01 13:16:30.000008	-4216086.706851359	-5322694.165936161	-1375828.5983617457
2024-11-01 13:17:00.000006	-4126497.956193243	-5434256.535563964	-1198836.5799520302
2024-11-01 13:17:30.000004	-4032452.4510816815	-5539949.742928288	-1020546.2223007034
2024-11-01 13:18:00.000003	-3934051.092552656	-5639658.715114654	-841150.4442687385
2024-11-01 13:18:30.000001	-3831399.5456832605	-5733274.847582402	-660843.4273696629
2024-11-01 13:18:59.999999	-3724608.126686682	-5820696.128194392	-479820.40245691914
2024-11-01 13:19:29.999997	-3613791.6844867123	-5901827.253861279	-298277.4348752272
2024-11-01 13:19:59.999996	-3499069.476904691	-5976579.739625803	-116411.2083460223
2024-11-01 13:20:29.999994	-3380565.04160753	-6044872.02002011	65581.19212941498
2024-11-01 13:20:59.999992	-3258406.0619653445	-6106629.542548703	247502.4980790929
2024-11-01 13:21:29.999990	-3132724.2279894077	-6161784.8531538015	429155.47578804643
2024-11-01 13:21:59.999988	-3003655.0925181434	-6210277.673541163	610343.1446692111
2024-11-01 13:22:29.999987	-2871337.9228366665	-6252054.970252654	790868.9954862485
2024-11-01 13:22:59.999985	-2735915.5479130563	-6287071.015390267	970537.2081521589
2024-11-01 13:23:29.999983	-2597534.201460423	-6315287.438904513	1149152.8688029293
2024-11-01 13:23:59.999981	-2456343.3610145086	-6336673.2723828405	1326522.1858829185
2024-11-01 13:24:30.000020	-2312495.388621393	-6351204.999165137	1502452.9398363715
2024-11-01 13:25:00.000018	-2166146.137864446	-6358866.512220162	1676753.754472481
2024-11-01 13:25:30.000016	-2017453.6244943698	-6359649.249124831	1849235.7244140424
2024-11-01 13:26:00.000014	-1866578.6201039182	-6353552.1142706815	2019711.6784092574
2024-11-01 13:26:30.000013	-1713684.2834232517	-6340581.503711919	2187996.623223445
2024-11-01 13:27:00.000011	-1558935.9801414413	-6320751.297316662	2353907.9479584876
2024-11-01 13:27:30.000009	-1402501.1003323358	-6294082.842343882	2517265.625484803
2024-11-01 13:28:00.000007	-1244548.873710887	-6260604.928491786	2677892.410752181
2024-11-01 13:28:30.000005	-1085250.1829668079	-6220353.754477804	2835614.0357318744
2024-11-01 13:29:00.000004	-924777.3754082939	-6173372.886221331	2990259.4007654754
2024-11-01 13:29:30.000002	-763304.0731670004	-6119713.206716923	3141660.7620857577
2024-11-01 13:30:00.000000	-601004.9821883207	-6059432.857690895	3289653.9153096126
2024-11-01 13:30:29.999998	-438055.70025542617	-5992597.173151632	3434078.3746863534
2024-11-01 13:30:59.999996	-274632.5242813762	-5919278.604952314	3574777.547906627
