spkid a e i om w ma epoch diameter spec_B
2000907 2.801021448 0.162180528 19.52501352 42.98013223 88.32559769 183.5487986 2459000.5 82.66 Xk
2000924 2.938334721 0.152993351 8.987185201 150.1940257 219.9607531 355.9239368 2459000.5 85.49 X
2000941 2.782634537 0.196519973 6.625794574 52.3086666 334.9317223 159.4402713 2459000.5 18.217 X
2000961 2.693760329 0.091059453 10.99143024 26.61593329 285.275288 181.9071743 2459000.5 36.571 X
2000965 3.157370205 0.280943519 21.42802998 41.43207122 47.01974144 162.5949545 2459000.5 60.857 Xc
2000973 3.211927027 0.112001075 15.82834789 348.4388195 87.85629234 63.63290108 2459000.5 51.609 Xk
2001014 2.804407979 0.201532193 2.265694945 251.6321118 234.0264465 181.2650758 2459000.5 17.487 Xe
2001015 3.205981759 0.0878567 9.446286791 120.1462248 286.5816645 9.538734436 2459000.5 82.35 Xc
2001022 2.805194775 0.174275562 21.05732506 111.9584803 124.7756758 178.3547658 2459000.5 34.297 X
2001025 1.979193514 0.039156857 26.86207042 163.3749148 349.1472311 96.24929699 2459000.5 4.605 Xe
2001032 3.12733897 0.14244048 9.484140557 76.313024 188.9273335 100.119709 2459000.5 65.658 X
2001039 2.67948709 0.060889459 4.553012446 221.6722356 327.0325795 146.3200202 2459000.5 33.853 X
2001046 2.985965013 0.063537862 7.894316688 10.6988351 47.71337021 207.1258521 2459000.5 29.084 Xe
2001071 2.800279686 0.110013928 5.361158243 52.48950865 29.04363296 268.305897 2459000.5 60.862 Xk
2001094 2.544473517 0.133149819 14.02751156 149.1290687 310.078564 104.1148113 2459000.5 17.869 Xk
2001098 2.69083524 0.11728286 13.38092516 328.9274622 80.68215343 237.5342847 2459000.5 26.684 Xe
2001103 1.933627136 0.094363689 17.90164487 267.6419331 77.83131845 73.58510139 2459000.5 6.692 Xk
2001104 2.629045736 0.343655784 6.4419053 128.6538576 277.4013931 176.9397481 2459000.5 23.244 Xk
2001107 3.182538874 0.123866164 7.074636165 110.8397544 351.1395453 91.43446233 2459000.5 79.079 Xc
2001114 3.092849545 0.071143821 10.72051494 195.3320762 207.2437706 315.8347965 2459000.5 75.631 Xc
2001135 2.667067497 0.115073777 4.540163831 350.6321248 3.114857262 314.9597491 2459000.5 50.592 Xk
2001155 2.464319134 0.163939175 6.591559482 39.11577887 195.464231 245.8794891 2459000.5 9.284 Xe
2001181 2.665401825 0.194980017 5.60123868 260.7019362 156.0474309 219.5645988 2459000.5 20.492 X
2001187 2.640406438 0.222744119 10.69726232 327.1649597 74.95619731 52.04004436 2459000.5 32.348 X
2001196 2.653605434 0.179471887 17.66717124 100.7578483 262.6279647 111.646239 2459000.5 25.274 X
2001201 2.697695442 0.038605904 7.00106092 203.0784515 165.3361619 359.2898688 2459000.5 35.825 Xc
2001212 3.949185103 0.190365978 7.59196634 149.5616817 348.2586961 48.32375193 2459000.5 76.387 X
2001214 2.710410459 0.117295875 9.841812946 285.842173 32.4642176 68.06415149 2459000.5 36.668 Xk
2001222 2.793079043 0.250154532 19.59049625 245.7881603 59.95006868 284.2485072 2459000.5 25.781 X
2001251 2.717387262 0.157614177 6.04992572 140.6285587 217.1328483 276.4782871 2459000.5 13.239 X
2001263 2.664804857 0.188610276 29.27200289 158.4708429 287.2888803 80.4462549 2459000.5 49.29 Xc
2001304 3.198447739 0.118348882 18.99201255 86.58545125 148.6005161 19.27110699 2459000.5 43.613 X
2001323 3.228837961 0.14812766 18.78503938 45.23438537 136.4256466 44.02794447 2459000.5 78.295 Xc
2001327 2.781800101 0.160668765 5.818620419 57.76224639 269.9850079 176.6083938 2459000.5 22.318 X
2001351 3.194467353 0.067706841 9.64400475 9.336160159 64.17786419 306.2873996 2459000.5 60.01 Xk
2001352 2.780647735 0.065010901 3.755090351 186.0718597 211.356358 247.8212844 2459000.5 19.979 X
2001373 3.419404096 0.314541286 38.93810015 297.4741262 99.07000842 160.4714212 2459000.5 19.448 Xk
2001407 2.763661186 0.282919736 5.820187915 268.3666647 111.2483527 85.75913822 2459000.5 20.31 X
2001420 2.748652361 0.076670434 3.485515291 260.8993761 74.18444515 191.5959752 2459000.5 20.524 X
2001424 3.187906235 0.056682969 9.162418191 42.91367537 302.813617 7.725376411 2459000.5 64.691 X
2001428 2.809770696 0.141066398 17.30657027 115.7101529 252.4705586 155.0030106 2459000.5 52.464 Xc
2001490 2.352511445 0.154359325 10.02106008 254.2629937 90.63852139 31.78762603 2459000.5 14.844 Xc
2001493 2.429255447 0.20148878 2.577808426 330.5602756 1.724654954 218.2911572 2459000.5 28.905 Xc
2001502 2.732113359 0.088706691 4.094404163 204.3448887 274.1318109 336.8264772 2459000.5 35.518 Xc
2001517 2.717231356 0.045168746 5.272985716 63.86242942 229.8783234 21.14505083 2459000.5 39.524 X
2001541 2.767490554 0.069770091 4.870794282 1.378203867 191.7101939 201.3880388 2459000.5 22 Xc
2001548 2.789560266 0.080361002 16.55511525 116.9093429 88.76009949 89.84523846 2459000.5 30.761 Xk
